;Código do produto;Produto;Valor de compra sem impostos
238;2;yampa - software financeiro da 4blue;45.5
239;2;yampa - software financeiro da 4blue;145.0
242;13;Curso de Precificação para Produtos e Serviços;147.0
243;2;yampa - software financeiro da 4blue;145.0
244;2;yampa - software financeiro da 4blue;45.5
245;2;yampa - software financeiro da 4blue;450.0
246;17;Precificação para Serviços;157.0
247;3;Maratona de Finanças - Experiência VIP;30.88
248;2;yampa - software financeiro da 4blue;1.0
249;3;Maratona de Finanças - Experiência VIP;15.7
250;2;yampa - software financeiro da 4blue;45.5
251;16;Gestão Financeira Lucrativa 3.0;557.0
252;3;Maratona de Finanças - Experiência VIP;15.7
253;3;Maratona de Finanças - Experiência VIP;15.7
256;2;yampa - software financeiro da 4blue;45.5
259;2;yampa - software financeiro da 4blue;45.5
260;2;yampa - software financeiro da 4blue;45.5
261;2;yampa - software financeiro da 4blue;45.5
262;2;yampa - software financeiro da 4blue;45.5
265;16;Gestão Financeira Lucrativa 3.0;557.0
267;3;Maratona de Finanças - Experiência VIP;15.7
268;2;yampa - software financeiro da 4blue;45.5
269;2;yampa - software financeiro da 4blue;45.5
271;13;Curso de Precificação para Produtos e Serviços;357.0
272;2;yampa - software financeiro da 4blue;45.5
274;3;Maratona de Finanças - Experiência VIP;15.7
276;2;yampa - software financeiro da 4blue;45.5
277;2;yampa - software financeiro da 4blue;1.0
278;3;Maratona de Finanças - Experiência VIP;15.7
279;2;yampa - software financeiro da 4blue;1.0
281;2;yampa - software financeiro da 4blue;45.5
282;3;Maratona de Finanças - Experiência VIP;15.7
283;2;yampa - software financeiro da 4blue;45.5
285;18;Ferramenta de Precificação Turbinada para Produtos e Serviços;500.0
287;2;yampa - software financeiro da 4blue;45.5
289;3;Maratona de Finanças - Experiência VIP;15.7
292;3;Maratona de Finanças - Experiência VIP;30.88
295;2;yampa - software financeiro da 4blue;1.0
297;3;Maratona de Finanças - Experiência VIP;15.7
298;3;Maratona de Finanças - Experiência VIP;15.7
301;3;Maratona de Finanças - Experiência VIP;15.7
305;3;Maratona de Finanças - Experiência VIP;15.7
306;3;Maratona de Finanças - Experiência VIP;15.7
307;3;Maratona de Finanças - Experiência VIP;15.7
308;3;Maratona de Finanças - Experiência VIP;15.7
309;3;Maratona de Finanças - Experiência VIP;15.7
311;3;Maratona de Finanças - Experiência VIP;15.7
312;3;Maratona de Finanças - Experiência VIP;15.7
313;2;yampa - software financeiro da 4blue;45.5
314;19;Ferramenta de Contas a Pagar ;35.5
315;3;Maratona de Finanças - Experiência VIP;15.7
316;20;14 Técnicas para Vender Mais 2.0;457.0
318;2;yampa - software financeiro da 4blue;1.0
319;2;yampa - software financeiro da 4blue;45.5
320;3;Maratona de Finanças - Experiência VIP;15.7
321;13;Curso de Precificação para Produtos e Serviços;357.0
324;1;Iluminismo Financeiro 2.1;455.0
326;4;Precificação para Produtos;157.0
327;3;Maratona de Finanças - Experiência VIP;15.7
328;3;Maratona de Finanças - Experiência VIP;15.7
329;2;yampa - software financeiro da 4blue;1.0
331;3;Maratona de Finanças - Experiência VIP;15.7
332;2;yampa - software financeiro da 4blue;45.5
333;2;yampa - software financeiro da 4blue;45.5
334;16;Gestão Financeira Lucrativa 3.0;557.0
335;21;Curso de Gestão e Planejamento Estratégico (FGE);550.0
336;2;yampa - software financeiro da 4blue;45.5
337;3;Maratona de Finanças - Experiência VIP;15.7
339;3;Maratona de Finanças - Experiência VIP;15.7
341;3;Maratona de Finanças - Experiência VIP;15.7
342;2;yampa - software financeiro da 4blue;1.0
346;16;Gestão Financeira Lucrativa 3.0;557.0
347;2;yampa - software financeiro da 4blue;1.0
348;3;Maratona de Finanças - Experiência VIP;15.7
349;2;yampa - software financeiro da 4blue;1.0
350;13;Curso de Precificação para Produtos e Serviços;357.0
353;2;yampa - software financeiro da 4blue;45.5
354;2;yampa - software financeiro da 4blue;45.5
355;3;Maratona de Finanças - Experiência VIP;15.7
357;2;yampa - software financeiro da 4blue;45.5
359;2;yampa - software financeiro da 4blue;45.5
360;2;yampa - software financeiro da 4blue;45.5
361;2;yampa - software financeiro da 4blue;45.5
362;1;Iluminismo Financeiro 2.1;1135.34
363;2;yampa - software financeiro da 4blue;45.5
364;2;yampa - software financeiro da 4blue;1.0
366;2;yampa - software financeiro da 4blue;45.5
368;2;yampa - software financeiro da 4blue;45.5
369;3;Maratona de Finanças - Experiência VIP;15.7
370;2;yampa - software financeiro da 4blue;45.5
371;2;yampa - software financeiro da 4blue;45.5
372;3;Maratona de Finanças - Experiência VIP;15.7
373;2;yampa - software financeiro da 4blue;45.5
374;2;yampa - software financeiro da 4blue;45.5
375;16;Gestão Financeira Lucrativa 3.0;557.0
377;3;Maratona de Finanças - Experiência VIP;15.7
378;2;yampa - software financeiro da 4blue;45.5
379;2;yampa - software financeiro da 4blue;45.5
381;2;yampa - software financeiro da 4blue;45.5
382;3;Maratona de Finanças - Experiência VIP;15.7
383;2;yampa - software financeiro da 4blue;45.5
385;3;Maratona de Finanças - Experiência VIP;15.7
386;3;Maratona de Finanças - Experiência VIP;15.7
388;3;Maratona de Finanças - Experiência VIP;15.7
390;2;yampa - software financeiro da 4blue;45.5
391;2;yampa - software financeiro da 4blue;1.0
396;2;yampa - software financeiro da 4blue;450.0
397;2;yampa - software financeiro da 4blue;45.5
398;2;yampa - software financeiro da 4blue;1.0
399;2;yampa - software financeiro da 4blue;45.5
400;3;Maratona de Finanças - Experiência VIP;30.88
404;3;Maratona de Finanças - Experiência VIP;15.7
406;7;Finanças 4you -  Curso de Finanças Pessoais da 4blue;145.0
407;2;yampa - software financeiro da 4blue;45.5
410;2;yampa - software financeiro da 4blue;450.0
413;3;Maratona de Finanças - Experiência VIP;15.7
414;3;Maratona de Finanças - Experiência VIP;15.7
416;16;Gestão Financeira Lucrativa 3.0;557.0
417;16;Gestão Financeira Lucrativa 3.0;557.0
418;16;Gestão Financeira Lucrativa 3.0;557.0
419;16;Gestão Financeira Lucrativa 3.0;557.0
420;16;Gestão Financeira Lucrativa 3.0;557.0
421;16;Gestão Financeira Lucrativa 3.0;557.0
422;16;Gestão Financeira Lucrativa 3.0;557.0
423;16;Gestão Financeira Lucrativa 3.0;557.0
425;3;Maratona de Finanças - Experiência VIP;15.7
426;2;yampa - software financeiro da 4blue;1.0
427;3;Maratona de Finanças - Experiência VIP;15.7
428;2;yampa - software financeiro da 4blue;45.5
429;3;Maratona de Finanças - Experiência VIP;15.7
430;3;Maratona de Finanças - Experiência VIP;15.7
431;2;yampa - software financeiro da 4blue;45.5
432;2;yampa - software financeiro da 4blue;45.5
433;1;Iluminismo Financeiro 2.1;1113.31
434;17;Precificação para Serviços;157.0
435;2;yampa - software financeiro da 4blue;45.5
436;13;Curso de Precificação para Produtos e Serviços;147.0
437;2;yampa - software financeiro da 4blue;45.5
438;2;yampa - software financeiro da 4blue;1.0
439;16;Gestão Financeira Lucrativa 3.0;557.0
440;2;yampa - software financeiro da 4blue;1.0
443;20;14 Técnicas para Vender Mais 2.0;457.0
444;13;Curso de Precificação para Produtos e Serviços;357.0
447;3;Maratona de Finanças - Experiência VIP;15.7
449;3;Maratona de Finanças - Experiência VIP;15.7
450;2;yampa - software financeiro da 4blue;145.0
453;3;Maratona de Finanças - Experiência VIP;15.7
454;3;Maratona de Finanças - Experiência VIP;15.7
456;3;Maratona de Finanças - Experiência VIP;15.7
457;2;yampa - software financeiro da 4blue;45.5
458;2;yampa - software financeiro da 4blue;1.0
461;2;yampa - software financeiro da 4blue;45.5
462;2;yampa - software financeiro da 4blue;45.5
463;2;yampa - software financeiro da 4blue;45.5
464;2;yampa - software financeiro da 4blue;45.5
466;2;yampa - software financeiro da 4blue;45.5
467;2;yampa - software financeiro da 4blue;45.5
468;2;yampa - software financeiro da 4blue;45.5
469;2;yampa - software financeiro da 4blue;45.5
470;3;Maratona de Finanças - Experiência VIP;15.7
471;2;yampa - software financeiro da 4blue;45.5
472;2;yampa - software financeiro da 4blue;45.5
